rank,run_name,hidden_dim,activation,lr,lr_decay,weight_decay,epochs,best_val_acc,checkpoint_path
1,hd512_relu_lr0p2_decay0p95_wd0p001,512,relu,0.2,0.95,0.001,50,0.9128333333333334,model/weights/hd512_relu_lr0p2_decay0p95_wd0p001_best.npz
2,hd768_relu_lr0p2_decay0p95_wd0p001,768,relu,0.2,0.95,0.001,50,0.9121666666666667,model/weights/hd768_relu_lr0p2_decay0p95_wd0p001_best.npz
3,hd512_relu_lr0p2_decay0p98_wd0p0,512,relu,0.2,0.98,0.0,50,0.9115,model/weights/hd512_relu_lr0p2_decay0p98_wd0p0_best.npz
4,hd768_relu_lr0p1_decay0p95_wd0p001,768,relu,0.1,0.95,0.001,50,0.9105,model/weights/hd768_relu_lr0p1_decay0p95_wd0p001_best.npz
5,hd256_relu_lr0p2_decay0p95_wd0p001,256,relu,0.2,0.95,0.001,50,0.9103333333333333,model/weights/hd256_relu_lr0p2_decay0p95_wd0p001_best.npz
6,hd512_relu_lr0p1_decay0p98_wd0p001,512,relu,0.1,0.98,0.001,50,0.9103333333333333,model/weights/hd512_relu_lr0p1_decay0p98_wd0p001_best.npz
7,hd768_relu_lr0p2_decay0p98_wd0p001,768,relu,0.2,0.98,0.001,50,0.9103333333333333,model/weights/hd768_relu_lr0p2_decay0p98_wd0p001_best.npz
8,hd768_relu_lr0p2_decay1p0_wd1e-05,768,relu,0.2,1.0,1e-05,50,0.91,model/weights/hd768_relu_lr0p2_decay1p0_wd1e-05_best.npz
9,hd512_relu_lr0p2_decay0p98_wd0p001,512,relu,0.2,0.98,0.001,50,0.9096666666666666,model/weights/hd512_relu_lr0p2_decay0p98_wd0p001_best.npz
10,hd256_tanh_lr0p2_decay0p95_wd0p001,256,tanh,0.2,0.95,0.001,50,0.9093333333333333,model/weights/hd256_tanh_lr0p2_decay0p95_wd0p001_best.npz
11,hd512_relu_lr0p2_decay1p0_wd0p0001,512,relu,0.2,1.0,0.0001,50,0.9093333333333333,model/weights/hd512_relu_lr0p2_decay1p0_wd0p0001_best.npz
12,hd512_relu_lr0p2_decay1p0_wd1e-05,512,relu,0.2,1.0,1e-05,50,0.9093333333333333,model/weights/hd512_relu_lr0p2_decay1p0_wd1e-05_best.npz
